# tablE for ExpErimEntal ratE
#                         
#    T8     ratE 

6603
0.25207513 1.6554134E-51
0.25236551 1.7444556E-51
0.25265622 1.8384047E-51
0.25294727 1.9375401E-51
0.25323865 2.0421577E-51
0.25353037 2.1525713E-51
0.25382243 2.2691129E-51
0.25411482 2.3921346E-51
0.25440755 2.5220097E-51
0.25470062 2.6591336E-51
0.25499402 2.8039256E-51
0.25528776 2.9568303E-51
0.25558184 3.1183191E-51
0.25587626 3.288892E-51
0.25617102 3.4690794E-51
0.25646612 3.6594437E-51
0.25676155 3.860582E-51
0.25705733 4.0731276E-51
0.25735345 4.2977529E-51
0.25764991 4.5351713E-51
0.25794671 4.7861404E-51
0.25824385 5.0514644E-51
0.25854134 5.3319973E-51
0.25883917 5.6286461E-51
0.25913734 5.9423741E-51
0.25943585 6.2742047E-51
0.25973471 6.6252253E-51
0.26003392 6.996591E-51
0.26033346 7.3895296E-51
0.26063336 7.8053462E-51
0.26093359 8.2454279E-51
0.26123418 8.7112494E-51
0.26153511 9.2043787E-51
0.26183638 9.7264835E-51
0.26213801 1.0279337E-50
0.26243998 1.0864826E-50
0.2627423 1.1484956E-50
0.26304497 1.2141864E-50
0.26334798 1.283782E-50
0.26365135 1.3575242E-50
0.26395506 1.4356703E-50
0.26425913 1.5184943E-50
0.26456354 1.6062876E-50
0.26486831 1.6993607E-50
0.26517342 1.7980442E-50
0.26547889 1.90269E-50
0.26578471 2.013673E-50
0.26609088 2.1313925E-50
0.26639741 2.2562738E-50
0.26670429 2.3887703E-50
0.26701152 2.5293645E-50
0.2673191 2.6785712E-50
0.26762704 2.8369385E-50
0.26793534 3.0050507E-50
0.26824399 3.1835309E-50
0.26855299 3.3730428E-50
0.26886235 3.5742944E-50
0.26917207 3.7880403E-50
0.26948215 4.0150851E-50
0.26979258 4.256287E-50
0.27010337 4.5125611E-50
0.27041451 4.7848832E-50
0.27072602 5.0742945E-50
0.27103788 5.3819053E-50
0.27135011 5.7089002E-50
0.27166269 6.056543E-50
0.27197563 6.4261822E-50
0.27228894 6.8192563E-50
0.2726026 7.2373007E-50
0.27291663 7.6819538E-50
0.27323102 8.154964E-50
0.27354577 8.6581976E-50
0.27386088 9.1936462E-50
0.27417635 9.7634362E-50
0.27449219 1.0369837E-49
0.2748084 1.1015272E-49
0.27512496 1.1702327E-49
0.27544189 1.2433764E-49
0.27575919 1.3212532E-49
0.27607685 1.4041779E-49
0.27639488 1.4924867E-49
0.27671328 1.5865387E-49
0.27703204 1.6867171E-49
0.27735117 1.7934314E-49
0.27767066 1.9071188E-49
0.27799053 2.0282464E-49
0.27831076 2.1573129E-49
0.27863136 2.2948511E-49
0.27895233 2.4414301E-49
0.27927367 2.5976576E-49
0.27959538 2.7641829E-49
0.27991746 2.9416996E-49
0.28023992 3.1309487E-49
0.28056274 3.3327216E-49
0.28088594 3.547864E-49
0.2812095 3.7772791E-49
0.28153345 4.0219322E-49
0.28185776 4.2828542E-49
0.28218245 4.5611467E-49
0.28250751 4.8579868E-49
0.28283295 5.1746319E-49
0.28315876 5.5124255E-49
0.28348494 5.8728032E-49
0.2838115 6.2572986E-49
0.28413844 6.6675507E-49
0.28446576 7.1053104E-49
0.28479345 7.5724487E-49
0.28512152 8.0709645E-49
0.28544997 8.6029941E-49
0.28577879 9.1708196E-49
0.286108 9.7768797E-49
0.28643758 1.042378E-48
0.28676754 1.1114305E-48
0.28709789 1.185143E-48
0.28742861 1.2638332E-48
0.28775972 1.347841E-48
0.2880912 1.4375291E-48
0.28842307 1.5332853E-48
0.28875532 1.635524E-48
0.28908795 1.7446878E-48
0.28942097 1.8612497E-48
0.28975437 1.985715E-48
0.29008815 2.1186238E-48
0.29042232 2.2605528E-48
0.29075688 2.4121184E-48
0.29109182 2.5739793E-48
0.29142714 2.7468388E-48
